nome,sobrenome,email,cpf_cnpj,profissao,aniversario
Sashenka,Zachary,Sashenka.Zachary@edesoft.com,019.031.641-17,devops,04/02/1937
Rosene,Pearse,Rosene.Pearse@edesoft.com,632.793.692-07,devops,29/10/1931
Cherrita,Terencio,Cherrita.Terencio@edesoft.com,09.296.653/0001-34,devops,17/10/1911
Dorothy,Catie,Dorothy.Catie@edesoft.com,489.276.344-62,eng. software,23/08/1992
Caritta,Ciapas,Caritta.Ciapas@edesoft.com,56.699.605/0001-77,dba,23/02/1938
Kara-Lynn,Noelyn,Kara-Lynn.Noelyn@edesoft.com,308.355.099-58,gerente,30/06/1991
Candi,Toni,Candi.Toni@edesoft.com,319.516.335-71,devops,04/07/1942
Heddie,Klotz,Heddie.Klotz@edesoft.com,063.093.936-50,dba,09/10/1966
Emmey,Saree,Emmey.Saree@edesoft.com,91.840.640/0001-65,dba,17/10/1993
Roz,Charity,Roz.Charity@edesoft.com,412.448.387-21,dba,05/04/1939
Reeba,Wallis,Reeba.Wallis@edesoft.com,70.263.470/0001-23,dba,19/08/1973
Codie,Bates,Codie.Bates@edesoft.com,047.656.404-26,desenvolvedor python,11/06/1956
Vere,Bevin,Vere.Bevin@edesoft.com,221.906.493-07,desenvolvedor python,09/06/1981
Elka,Drus,Elka.Drus@edesoft.com,824.462.844-85,dba,25/09/1974
Marita,Bethany,Marita.Bethany@edesoft.com,661.329.737-29,dba,25/02/1986
Nerta,Joni,Nerta.Joni@edesoft.com,55.059.892/0001-98,dba,10/08/1925
Patricia,Rosemary,Patricia.Rosemary@edesoft.com,69.156.401/0001-31,diretor,10/07/1959
Hermione,Niles,Hermione.Niles@edesoft.com,099.670.802-21,dba,25/12/1961
Lauryn,Gilbertson,Lauryn.Gilbertson@edesoft.com,468.460.869-78,diretor,30/11/1942
Latisha,Emmaline,Latisha.Emmaline@edesoft.com,583.644.747-07,devops,18/04/1953
Neila,Isidore,Neila.Isidore@edesoft.com,099.424.243-34,devops,12/01/1927
Ketti,Hilbert,Ketti.Hilbert@edesoft.com,571.986.235-81,diretor,05/04/1931
Alyda,Creamer,Alyda.Creamer@edesoft.com,77.561.057/0001-94,devops,20/03/1909
Doralynne,Voletta,Doralynne.Voletta@edesoft.com,669.814.278-69,gerente,27/11/1949
